frame,tempo_segundos,angulo_cotovelo_esquerdo,angulo_cotovelo_direito
91,3.033333333333333,114.08384369309188,123.18125705303667
92,3.066666666666667,113.3841123922988,121.84201861056502
93,3.1,112.08142791259415,122.39055084548731
94,3.1333333333333333,110.30368251308514,121.33561101089595
95,3.1666666666666665,108.65640511068288,120.07046526582002
96,3.2,103.71345810165073,118.3839043703487
97,3.2333333333333334,101.35493846408662,116.36052217288346
98,3.2666666666666666,100.0975918482666,116.77169155953253
99,3.3,98.00958854081226,115.94089971680347
100,3.3333333333333335,97.96906594903693,114.00783101175959
101,3.3666666666666667,95.24945384960392,110.2175100355461
102,3.4,94.5330483732208,107.29775281259809
103,3.433333333333333,93.62694510094852,105.21515907987609
104,3.466666666666667,94.52525433834919,103.48680627060283
105,3.5,94.95640561641122,104.69198736994589
106,3.533333333333333,94.14779397770718,104.01979644131575
107,3.566666666666667,94.54231385791724,103.70472814095824
108,3.6,92.95369743610303,104.27605281487422
109,3.6333333333333333,90.68824724338235,102.83839172562367
110,3.6666666666666665,89.31049030477398,100.84865210965495
111,3.7,88.97898012561225,100.23384779599262
112,3.7333333333333334,85.90329235967812,98.70296854507998
113,3.7666666666666666,85.35381305009696,97.24358394390923
114,3.8,83.46304267907983,96.50854435189692
115,3.8333333333333335,82.73771921478051,94.45736726194164
116,3.8666666666666667,81.28337574030351,92.37192582692728
117,3.9,80.46835443245762,91.24131970008871
118,3.933333333333333,79.49461696305013,89.33680891264558
119,3.966666666666667,79.80607181459409,88.19627339811726
120,4.0,78.89994190265735,86.19813025094008
121,4.033333333333333,78.74829349821023,85.03377973792706
122,4.066666666666666,78.21077256844285,84.60693387919315
123,4.1,77.69116766256579,83.48275392945467
124,4.133333333333334,78.48122152996653,83.46859730619114
