frame,tempo_segundos,angulo_cotovelo_esquerdo_filtrado,angulo_cotovelo_direito_filtrado
73,2.433333333333333,118.12854765505791,127.6429697540715
74,2.466666666666667,118.45449100664246,127.68181166147346
75,2.5,118.77091314780156,127.76229116842018
76,2.533333333333333,119.06782655417004,127.88496807982806
77,2.566666666666667,119.33171321388538,128.04871742826666
78,2.6,119.54229677781726,128.25491994277556
79,2.6333333333333333,119.67404237820777,128.5063366824461
80,2.6666666666666665,119.70245753743684,128.8010816099988
81,2.7,119.61180676659829,129.12483486966894
82,2.7333333333333334,119.40005770124127,129.4447627708302
83,2.7666666666666666,119.07903069521431,129.7077306172592
84,2.8,118.67066474219875,129.84440788532035
85,2.8333333333333335,118.20159401741469,129.77993137000158
86,2.8666666666666667,117.69717378274684,129.45025321424075
87,2.9,117.17427099805796,128.82066171389098
88,2.933333333333333,116.6319173495297,127.90045059980544
89,2.966666666666667,116.04128033678005,126.74755861781817
90,3.0,115.33992754092559,125.45945094664212
91,3.033333333333333,114.43705922081577,124.15024078350578
92,3.066666666666667,113.23373002643073,122.919063709179
93,3.1,111.65519988839917,121.82004913602492
94,3.1333333333333333,109.684791412148,120.84510958354065
95,3.1666666666666665,107.38469944634963,119.92479346417632
96,3.2,104.89256871444404,118.94520788571137
97,3.2333333333333334,102.39319578456596,117.77701868352634
98,3.2666666666666666,100.07690244257367,116.31383918596401
99,3.3,98.10127465780758,114.51459223771029
100,3.3333333333333335,96.56708205960287,112.43605299155095
101,3.3666666666666667,95.5082393692002,110.23632866154382
102,3.4,94.88980501030825,108.13767843206735
103,3.433333333333333,94.61110967690149,106.35709006669094
104,3.466666666666667,94.51753649513839,105.03235560105375
105,3.5,94.42571835477837,104.17611237251025
106,3.533333333333333,94.16050965801035,103.67705783223045
107,3.566666666666667,93.59353645769018,103.34487532398366
108,3.6,92.66965144014821,102.97657934778674
109,3.6333333333333333,91.41188276838537,102.41589382653642
110,3.6666666666666665,89.904846736309,101.58458268037938
111,3.7,88.2654442857777,100.48002956096639
112,3.7333333333333334,86.61273540640734,99.14875897777097
113,3.7666666666666666,85.04560273901737,97.65349144752032
114,3.8,83.63132412945943,96.04917165742924
115,3.8333333333333335,82.40413797816225,94.37489383364502
116,3.8666666666666667,81.3708080789959,92.65987343368035
117,3.9,80.51963714495834,90.93664769861071
118,3.933333333333333,79.83015043053868,89.2538292181624
119,3.966666666666667,79.28180163934809,87.68195307149806
120,4.0,78.86024855347158,86.30806859298586
121,4.033333333333333,78.5592753180956,85.21829953112761
122,4.066666666666666,78.37712272246273,84.47260370585789
123,4.1,78.30868029975012,84.08044937964311
124,4.133333333333334,78.3378978815002,83.98782823958491
