frame,tempo_segundos,angulo_joelho_direito
58,1.9333333333333333,160.25089132660082
59,1.9666666666666666,165.92308595199162
60,2.0,170.47393641751316
61,2.033333333333333,170.68339947822875
62,2.066666666666667,170.93032423871114
63,2.1,171.33622548349237
64,2.1333333333333333,173.1588405672553
65,2.1666666666666665,175.0617193717095
66,2.2,175.05617822109582
67,2.2333333333333334,175.2503926998668
68,2.2666666666666666,176.81959174523993
69,2.3,176.50778205809561
70,2.3333333333333335,176.8978593666403
71,2.3666666666666667,176.91278331217376
72,2.4,176.9552715490586
73,2.433333333333333,176.88393401041566
74,2.466666666666667,176.58614564257505
75,2.5,176.56472576115743
76,2.533333333333333,175.75916121113139
77,2.566666666666667,175.64686338354778
78,2.6,174.90496352382308
79,2.6333333333333333,174.6838172567981
80,2.6666666666666665,174.4819586666105
81,2.7,174.09103986188717
82,2.7333333333333334,173.4792211459279
83,2.7666666666666666,172.60588455165504
84,2.8,170.1340580844954
85,2.8333333333333335,167.9170306027904
86,2.8666666666666667,167.11637411632722
87,2.9,166.10137739405138
88,2.933333333333333,164.47447378731107
89,2.966666666666667,162.1054938542624
90,3.0,158.33056955210117
91,3.033333333333333,155.08290492700817
92,3.066666666666667,154.5450916589592
93,3.1,151.7310504102478
94,3.1333333333333333,149.39149401190792
95,3.1666666666666665,146.99763874683836
96,3.2,144.30019163038787
97,3.2333333333333334,141.26877508516526
98,3.2666666666666666,138.75940642749427
99,3.3,133.18221945113717
100,3.3333333333333335,129.55425662836282
101,3.3666666666666667,126.14452693511753
102,3.4,122.80805552893476
103,3.433333333333333,119.12273080256654
104,3.466666666666667,116.71453813806342
105,3.5,112.08232073113997
106,3.533333333333333,106.23068584111813
107,3.566666666666667,103.08880531737401
108,3.6,99.10991679787944
109,3.6333333333333333,97.64597021826529
110,3.6666666666666665,96.26291402910533
111,3.7,94.99645399870525
112,3.7333333333333334,92.18136662531015
113,3.7666666666666666,89.52554579911578
114,3.8,88.0110531947158
115,3.8333333333333335,86.65913587437899
116,3.8666666666666667,84.50710144352523
117,3.9,83.18234278689631
118,3.933333333333333,81.68965764487126
119,3.966666666666667,80.89790410884775
120,4.0,80.90607791877615
121,4.033333333333333,80.19621348478942
122,4.066666666666666,80.016389104457
123,4.1,79.5528419233738
124,4.133333333333334,79.47045237293673
125,4.166666666666667,79.59112030825452
126,4.2,79.90085786454469
127,4.233333333333333,80.20137367223245
128,4.266666666666667,80.80417050880652
129,4.3,82.47329224768482
130,4.333333333333333,85.05517224289495
131,4.366666666666666,88.66672448296042
132,4.4,91.6085900122796
133,4.433333333333334,95.30483107541728
134,4.466666666666667,100.06080435489368
135,4.5,102.82353249928434
136,4.533333333333333,105.98098708278178
137,4.566666666666666,109.0111078519012
138,4.6,111.43794530012612
139,4.633333333333334,113.7361216369772
140,4.666666666666667,117.26853999607228
141,4.7,120.60894614881228
142,4.733333333333333,123.4193180953308
143,4.766666666666667,127.08820341050969
144,4.8,130.9546551841284
145,4.833333333333333,135.08760086527917
146,4.866666666666666,139.88480558024756
147,4.9,143.0272982260861
148,4.933333333333334,145.21240572537337
149,4.966666666666667,148.59711620920535
150,5.0,152.25308410965755
151,5.033333333333333,157.36056082239548
152,5.066666666666666,160.31837436655726
153,5.1,160.8815967557178
154,5.133333333333334,163.71171577102746
155,5.166666666666667,166.66759455084846
156,5.2,169.74733912084847
157,5.233333333333333,174.9314253111964
158,5.266666666666667,172.79080233296165
159,5.3,171.43772559838268
160,5.333333333333333,172.72430768856813
161,5.366666666666666,173.8656796374768
162,5.4,175.07160912290414
163,5.433333333333334,174.82155083074142
164,5.466666666666667,173.5619747722477
165,5.5,173.46990419478527
166,5.533333333333333,173.76009046573205
167,5.566666666666666,174.40571737414993
168,5.6,173.36177573418746
169,5.633333333333334,174.16793522471124
170,5.666666666666667,174.0651341900666
171,5.7,174.17082663333213
172,5.733333333333333,174.15285440843346
173,5.766666666666667,174.31106468393676
174,5.8,174.5162608688662
175,5.833333333333333,174.6845764261459
176,5.866666666666666,174.73730386263412
177,5.9,175.49071643955216
178,5.933333333333334,175.60801908456114
179,5.966666666666667,175.6146041114029
180,6.0,175.1691176374969
181,6.033333333333333,171.6832516946486
182,6.066666666666666,167.82648703822235
183,6.1,167.41211244527835
184,6.133333333333334,167.1277639236274
185,6.166666666666667,165.44842214553026
186,6.2,163.57376458781528
